lr-Adam,step,val_loss,epoch,avg_test_acc
0.001,0,,,
,859,0.14820662140846252,0,
0.001,860,,,
,1719,0.11281097680330276,1,
0.001,1720,,,
,2579,0.11395567655563354,2,
0.001,2580,,,
,3439,0.11897934228181839,3,
0.001,3440,,,
,4299,0.13317114114761353,4,
,4300,,5,0.9701433181762695
