lr-Adam,step,val_loss,epoch,avg_test_acc
0.001,0,,,
,859,0.12841099500656128,0,
0.001,860,,,
,1719,0.1135418564081192,1,
0.001,1720,,,
,2579,0.10749723762273788,2,
0.001,2580,,,
,3439,0.10939314216375351,3,
0.001,3440,,,
,4299,0.10258248448371887,4,
0.001,4300,,,
,5159,0.11566345393657684,5,
0.001,5160,,,
,6019,0.11354294419288635,6,
0.001,6020,,,
,6879,0.10282625257968903,7,
,6880,,8,0.9743232727050781
